procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1 372736 111460  50592 1003792    0    0  5196     0 6075 1901 22 61  0 17  0
 4  0 372736 104548  50668 1011120    0    0  3576  5696 7134 1616 15 56  0 29  0
 2  1 372736  93972  50712 1021740    0    0  5332  5468 6203 1558 13 51  0 36  0
 1  0 372736  85596  50820 1030048    0    0  3944   656 6241 1750 18 53  0 28  0
 2  1 372736  82996  50852 1032772    0    0  1304 25904 6319 1797 11 46  0 43  0
 1  2 372736  82348  50864 1033236    0    0   248 24316 5567 1295  7 49  0 44  0
 0  2 372736  81476  50868 1034024    0    0   340 34084 5896 1455 13 49  0 38  0
 2  0 372736  79188  50908 1036124    0    0   948  4724 6377 1629 23 49  0 28  0
 2  0 372736  64528  51076 1050672    0    0  7476   540 6132 2061 15 57  0 27  0
 3  0 373248  72540  51204 1042584    0  468  4016   468 6615 1807 20 64  0 16  0
 6  0 374016  74724  51340 1037224    4  840  2204   840 5046 5397 35 52  0 13  0
29  0 374272  67952  50884 1031784    4  140   880   840 5196 3463 28 54  0 18  0
 4  1 375296  67308  50036 1019516    4 1132  2672  4708 5699 4044 34 58  0  8  0
 6  0 375296  69472  50048 1019676    0    0  1676    24 5835 3758 25 64  0 11  0
 7  0 375808  75520  50168 1014056    0  432  4176   908 6178 3320 23 63  0 14  0
12  0 376320  81888  50180 1002984    4  596  1220   596 6915 2918 34 61  0  5  0
 5  0 376320  89868  50528 1008364    0    0   592  4380 5836 34126 38 51  0 11  0
 4  0 376320  80908  50528 1013320    0    0     0     0 5772 30417 59 41  0  0  0
 3  0 376320  75768  50544 1018140    0    0     0   204 6306 60879 46 54  0  0  0
 1  0 376320  73300  50552 1019536    0    0     0   104 6593 78770 45 55  0  0  0
 1  0 376320  70208  50552 1024104    0    0     0     0 5737 29549 59 41  0  0  0
 1  0 376320  67412  50572 1026800    0    0     0   436 6099 32641 55 45  0  0  0
 8  1 377856  75580  50568 1003692    0 1452     0 24780 5821 31561 56 44  0  0  0
 2  2 377856  76000  50576 1003696    0    0     0  9964 6537 1464 60 40  0  0  0
11  1 377856  71728  50576 1007000    0    0     0 33972 5759 25996 53 47  0  0  0
 6  0 377856  84412  50576 1010028    0    0     0  6768 5683 33172 56 44  0  0  0
 6  0 377856  82548  50596 1012480    0    0     0   320 5331 29407 62 38  0  0  0
 1  0 377856  80540  50596 1015480    0    0     0     0 5948 29323 62 38  0  0  0
 6  0 377856  77000  50620 1018364    0    0     0   200 6375 29384 54 46  0  0  0
 2  0 377856  73552  50628 1021256    0    0     0    36 6228 30841 56 44  0  0  0
 2  0 377856  69724  50628 1025092    0    0     0     0 5389 24732 61 39  0  0  0
10  0 377856 226904  50672 881588    0    0   120 24296 5929 1629 27 57  0 16  0
 1  0 377856 261304  50700 839368    0    0     0  1696 6069 1469 56 40  0  4  0
 4  0 377856 244092  50700 839384    0    0     0     0 6578 1361 56 44  0  0  0
 1  0 377856 236104  50700 839464    0    0     0     0 6197 1340 60 40  0  0  0
 2  1 377856 231172  50700 878880    0    0   356 40384 5869 1542 34 52  0 14  0
22  0 377856 203392  50712 879096    0    0   212   316 6339 1548 53 47  0  0  0
 5  0 377856 180248  50716 879108    0    0     0    68 6917 1585 60 40  0  0  0
 4  0 377856 164588  50716 879128    0    0     0     0 6034 1157 64 36  0  0  0
 0  1 377856  78412  50716 961120    0    0     0 56768 6352 1229 45 46  0  9  0
 9  0 377856 169844  50732 879332    0    0     0 24288 5387 1267 34 47  0 19  0
 1  0 377856 162288  50740 879312    0    0     0    36 6076 1404 56 44  0  0  0
 3  0 377856 152452  50740 879512    0    0   200     0 6212 1378 56 39  0  5  0
 6  0 377856 154868  50740 879616    0    0     0     0 5823 1326 55 45  0  0  0
 2  0 377856 156452  50740 879608    0    0     0     0 5649 1446 59 41  0  0  0
 1  1 377856 153400  50748 879632    0    0     0    56 6286 1382 60 40  0  0  0
 2  0 377856 155164  50748 879660    0    0     0     0 5962 1306 58 42  0  0  0
 1  0 377856 152360  50772 879616    0    0     0   244 6367 1401 55 45  0  0  0
 8  0 377856 151592  50772 879644    0    0     0     0 5285 1242 59 41  0  0  0
 1  0 377856 153368  50784 879652    0    0     0   128 6112 1496 49 51  0  0  0
 7  1 377856 153176  50788 879636    0    0     0    36 6232 1247 55 45  0  0  0
 3  0 377856 151944  50788 879700    0    0     0     0 6033 1332 55 45  0  0  0
 2  0 377856 236796  50788 878232    0    0     0     4 6537 1676 52 47  1  0  0
 1  0 377856 216132  50788 878228    0    0     0     0 5836 1053 70 30  0  0  0
 3  0 377856 203776  50808 878204    0    0     0   304 6048 1258 63 37  0  0  0
 2  0 377856 159172  50808 918652    0    0     0 40384 5832 1153 38 50  0 13  0
 1  0 377856 198452  50808 878216    0    0     0 40444 4799 1115 31 45  0 24  0
 3  0 377856 237788  50808 878184    0    0     0    12 5792 1389 62 38  0  0  0
 1  0 377856 215832  50808 878228    0    0     0     0 5504 1773 61 39  0  0  0
 1  0 377856 192668  50812 878256    0    0     0   116 5762 1172 67 33  0  0  0
 4  0 377856 179540  50812 878340    0    0     0     0 5726 1177 65 35  0  0  0
 1  1 377856  84540  50812 964796    0    0     0 48348 5977 1330 36 46  0 18  0
 2  0 377856 212428  50828 883056    0    0    48 37808 5770 1325 25 49  0 26  0
10  0 377856 183360  50860 882992    0    0     0   300 6341 1443 37 54  0  9  0
 9  0 377856 260524  51052 844060    0    0   804  6504 6053 3426 44 51  0  5  0
13  1 377856 244964  51064 844028    0    0     0   184 6204 1212 58 42  0  0  0
 2  0 377856 231228  51080 844080    0    0     0    72 6679 1400 56 44  0  0  0
 1  0 377856 223544  51080 844152    0    0     0   680 5858 1129 65 35  0  0  0
 3  0 377856 220472  51080 883260    0    0     0 40384 6242 1338 23 60  0 18  0
 7  0 377856 202648  51096 883164    0    0     0   172 5944 1385 57 43  0  0  0
 1  0 377856 183764  51096 883152    0    0     0     0 6018 1274 60 40  0  0  0
 1  0 377856 173148  51120 883212    0    0     0   220 5761 1198 57 43  0  0  0
 2  1 377856  86488  51120 965212    0    0     0 55636 5763 1166 38 49  0 13  0
 3  0 377856 160000  51132 883456    0    0     0 25360 6339 1321 37 50  0 13  0
 2  0 377856 149388  51140 883596    0    0     0    36 5731 1456 68 32  0  0  0
 2  0 377856 132252  51140 883544    0    0     0     0 4924 1480 63 37  0  0  0
 2  0 377856 128188  51164 883804    0    0     0   248 5329 1621 69 31  0  0  0
 2  0 377856 117824  51164 883624    0    0     0     0 6091 1681 54 46  0  0  0
 5  0 377856 113772  51164 883644    0    0     0     0 5762 1576 63 38  0  0  0
 9  0 377856 106660  51164 883768    0    0     0     0 5713 1570 56 44  0  0  0
 5  0 377856 105840  51176 883680    0    0     0   240 6462 1318 51 49  0  0  0
 2  0 377856 104868  51184 883724    0    0     0    40 5948 1518 58 42  0  0  0
 7  0 377856 103628  51184 883740    0    0     0     0 6044 1352 54 46  0  0  0
 9  0 377856 105132  51200 883724    0    0     0   204 5839 1367 59 41  0  0  0
 5  0 377856 103000  51208 883776    0    0     0    40 6045 1572 62 38  0  0  0
 3  0 377856 103072  51208 883796    0    0     0     0 5328 1559 62 38  0  0  0
 2  0 377856 106600  51208 883904    0    0     0     0 5874 1232 57 43  0  0  0
 6  0 377856 105288  51208 883908    0    0     0     0 6162 1250 60 40  0  0  0
 4  0 377856 106596  51208 883988    0    0     0   388 6147 1286 52 48  0  0  0
 7  0 377856 102648  51216 883996    0    0     0    24 5468 1261 67 33  0  0  0
 3  0 377856 107316  51264 883864    0    0     0   472 5950 1408 59 41  0  0  0
 9  0 377856 106008  51264 883896    0    0     0     0 5898 1186 57 43  0  0  0
 8  0 377856 106352  51288 883960    0    0     0   160 5929 1460 59 41  0  0  0
 2  0 377856 105244  51288 883948    0    0     0   784 5965 1148 57 43  0  0  0
 9  0 377856 105888  51304 884016    0    0     0   224 5653 1417 59 41  0  0  0
 7  0 377856 105908  51304 884064    0    0     0     0 5643 1419 57 43  0  0  0
 3  0 377856 102784  51304 884088    0    0     0     0 5645 1156 60 40  0  0  0
 2  0 377856 193000  51304 882800    0    0     0     4 5516 1683 64 36  0  0  0
 2  0 377856 219824  51304 883164    0    0     0     4 5211 1501 65 35  0  0  0
 1  0 377856 201224  51312 884764    0    0     0   104 5912 1238 63 38  0  0  0
 2  0 377856 188236  51312 884776    0    0     0     0 5322 1135 67 33  0  0  0
 1  2 377856 102660  51312 966604    0    0     0 52904 6225 1216 40 46  0 14  0
 1  0 377856 183772  51340 884492    0    0     4 28456 6197 1224 26 49  0 25  0
 1  0 377856 224092  51340 884536    0    0     0   352 6211 1392 64 36  0  0  0
 1  0 377856 205680  51340 884836    0    0     0     0 6729 1842 59 41  0  0  0
 1  0 377856 192568  51340 884640    0    0     0     0 5877 1727 61 39  0  0  0
 1  0 377856 171148  51340 884652    0    0     0     0 5830 1001 69 31  0  0  0
 1  0 377856 158800  51356 887184    0    0     0   248 5795 1173 63 37  0  0  0
 0  1 377856 156028  51356 889300    0    0    16 85148 6389 1139 11 57  0 32  0
 4  0 377856 201008  51372 889396    0    0   120     0 6291 3418 17 70  0 13  0
 4  0 377856 201056  51388 889432    0    0     4  2816 5775 2437 45 51  0  4  0
 1  0 377856 208216  51444 889488    0    0     0  3224 6170 3970 22 73  0  4  0
 3  0 377856 205308  51868 890456    0    0   448  3992 6452 2669 21 51  1 27  0
 4  0 377856 188440  51868 894744    4    0    12     0 5373 6635 49 51  0  0  0
 7  0 377856 186416  51880 894880    4    0    12    80 5309 4890 26 74  0  0  0
 1  0 377856 190504  51880 890752    0    0     4     0 5489 4780 30 69  0  1  0
 1  0 377856 190000  51892 890704    8    0     8   244 5551 4498 33 67  0  0  0
 3  0 377856 190764  51908 890960    0    0   172     0 5550 4528 27 68  0  5  0
 1  0 377856 190496  51920 891452    0    0   264   164 5466 4613 23 74  0  3  0
 3  0 377856 200840  52324 892976    4    0  1292  3292 6218 1872 29 56  0 15  0
 2  0 377856 202600  52328 893028    0    0   136   180 5674 2228 35 62  0  3  0
 1  0 377856 207504  52356 892864    0    0   148   932 1436 3267 45 45  0 10  0
 1  0 377856 236012  52396 850556    0    0     4  1712  450 2789 67 22  0 10  0
 0  1 377856 173012  52400 890924    0    0     0 20556  449  290 89  6  0  5  0
 1  0 377856 193392  52400 889708    0    0     0 21368  374  740 46 14  0 39  0
 1  0 377856 161892  52408 889660    0    0     0   204  437  291 94  6  0  0  0
 0  1 377856  77692  52416 971644    0    0     0 73188  249  343 17  8  0 75  0
 1  0 377856 142960  52416 889988    0    0     0  7688  349  438 76  3  0 21  0
 1  0 377856 133320  52432 889996    0    0     0   372  456  803 87 13  0  0  0
 1  0 377856 134832  52432 890008    0    0     0   276  481  758 83 17  0  0  0
 1  0 377856 135084  52448 889948    0    0     0   196  420  812 82 18  0  0  0
