procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  14168 118676  37632 1183224    0    0     0     0 3253  400  4 20 76  0  0
 0  0  14168 118668  37632 1183224    0    0     0     0 2148  301  0 15 85  0  0
 0  0  14168 118668  37632 1183228    0    0     0     0 3838  366  2 22 76  0  0
 0  0  14168 118676  37632 1183228    0    0     0     0 2607  297  1 18 81  0  0
 0  0  14168 118676  37632 1183232    0    0     0     0 2174  263  0 14 86  0  0
 0  0  14168 118676  37640 1183232    0    0     0    16 2377  298  1 17 80  2  0
 0  0  14168 118676  37640 1183236    0    0     0     0 2711  337  1 16 83  0  0
 0  0  14168 118676  37640 1183236    0    0     0     0 2856  330  1 21 78  0  0
 0  0  14168 118676  37640 1183240    0    0     0    36 3538  441  2 21 77  0  0
 0  0  14168 118676  37640 1183240    0    0     0     0 2770  408  0 19 81  0  0
 0  0  14168 118676  37648 1183240    0    0     0    24 2592  331  1 15 84  0  0
 0  0  14168 118676  37648 1183244    0    0     0     0 2518  380  3 18 79  0  0
 0  0  14168 118676  37648 1183244    0    0     0     0 3477  480  2 21 77  0  0
 0  0  14168 118668  37648 1183248    0    0     0     0 3207  411  1 22 77  0  0
 0  0  14168 118676  37648 1183248    0    0     0     0 3361  424  1 22 77  0  0
 0  0  14168 118676  37656 1183252    0    0     0    16 2947  401  1 20 79  0  0
 0  0  14168 118676  37656 1183252    0    0     0     0 2619  351  2 17 80  1  0
 0  0  14168 118676  37656 1183252    0    0     0     0 2319  337  1 15 84  0  0
 0  0  14168 118676  37656 1183256    0    0     0     0 2056  328  2 13 85  0  0
 0  0  14168 118676  37656 1183256    0    0     0     0 2445  386  1 17 82  0  0
 0  0  14168 118676  37664 1183260    0    0     0    16 2160  349  1 16 82  1  0
 0  0  14168 118676  37664 1183260    0    0     0     0 2152  436  2 13 85  0  0
 2  0  14168 118676  37664 1183264    0    0     0     0 2817  362  3 19 78  0  0
 0  0  14168 118676  37664 1183264    0    0     0     0 2514  610  6 16 78  0  0
 0  0  14168 118676  37664 1183268    0    0     0     0 3006  459  1 21 78  0  0
 0  0  14168 118676  37672 1183268    0    0     0    16 3046  471  2 21 77  0  0
 0  0  14168 118668  37672 1183272    0    0     0     0 2636  389  1 19 80  0  0
 0  0  14168 118676  37672 1183276    0    0     0     0 2493  375  2 15 83  0  0
