procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 254148 117768  56852 1336288    0    0     0     0 1197  314  1  7 92  0  0
 0  0 254148 117768  56860 1336292    0    0     0    16  900  325  0  5 93  2  0
 0  0 254148 117768  56860 1336296    0    0     0     0  977  365  2  6 92  0  0
 0  0 254148 117768  56860 1336304    0    0     0     0 1045 4463  8  8 83  0  0
 0  0 254148 117768  56860 1336308    0    0     0     0 1531  374  2 11 87  0  0
 0  0 254148 117768  56860 1336308    0    0     0     0 1184  305  1  4 95  0  0
 0  0 254148 117768  56868 1336312    0    0     0   140 1053  312  0  9 87  4  0
 1  0 254148 117640  56868 1336316    0    0     0     0  905  280  1  6 93  0  0
 2  0 254148 117448  56868 1336316    0    0     0     0 1014 4424  7  9 84  0  0
 0  0 254148 117768  56868 1336324    0    0     0     0 1405  358  1  7 92  0  0
 0  0 254148 117768  56868 1336328    0    0     0     0 1305  326  2  6 92  0  0
 1  0 254148 117704  56876 1336332    0    0     0    56 1016  297  0  8 85  7  0
 0  0 254148 117768  56884 1336332    0    0     0   184  925  305  1  4 90  5  0
 1  0 254148 117576  56888 1336336    0    0     0    24  908 4510  9  8 81  1  0
 1  0 254148 117768  56888 1336340    0    0     0     0  843  258  0  4 96  0  0
 0  0 254148 117768  56888 1336344    0    0     0     0 1216  326  1  7 92  0  0
 1  0 254148 117448  56888 1336344    0    0     0     0 1138  299  1  6 93  0  0
 0  0 254148 117768  56888 1336352    0    0     0     0 1253  301  0 10 90  0  0
 0  0 254148 117768  56896 1336352    0    0     0    24 1460 4477  7 13 78  2  0
 1  0 254148 117192  56896 1336356    0    0     0     0 1314  315  1  7 92  0  0
 0  0 254148 117768  56896 1336356    0    0     0     0 1246  309  0 10 90  0  0
 0  0 254148 117768  56896 1336364    0    0     0     0 1306  289  0  9 91  0  0
 1  0 254148 117768  56896 1336372    0    0     0   144 1273  301  0  9 91  0  0
 0  0 254148 117768  56904 1336372    0    0     0    28 1090 4438  9  7 79  5  0
 0  0 254148 117768  56904 1336376    0    0     0     0  693  318  4  5 91  0  0
 0  0 254148 117768  56904 1336380    0    0     0     0 1010  309  0  7 93  0  0
 0  0 254148 117768  56904 1336384    0    0     0     0 1077  270  0  7 93  0  0
 1  0 254148 117576  56904 1336388    0    0     0     0  822  273  1  6 93  0  0
 0  0 254148 117768  56908 1336384    0    0     0    20 1178 4491  5 12 80  3  0
 0  0 254148 117768  56908 1336392    0    0     0     0 1102  301  2  8 90  0  0
 0  0 254148 117768  56908 1336396    0    0     0     0 1156  295  0  8 92  0  0
 0  0 254148 117768  56908 1336400    0    0     0     0  828  299  0  4 96  0  0
 0  0 254148 117768  56908 1336400    0    0     0     0 1309  293  1 11 88  0  0
 0  0 254148 117768  56912 1336408    0    0     0    24 1137 4489  9  9 78  4  0
 0  0 254148 117768  56912 1336412    0    0     0     0 1297  333  2  9 89  0  0
 0  0 254148 117768  56912 1336412    0    0     0     0  786  250  1  3 96  0  0
 0  0 254148 117768  56912 1336416    0    0     0     0 1071  259  1  6 93  0  0
 0  0 254148 117768  56912 1336420    0    0     0   116 1320  299  0  7 93  0  0
 0  0 254148 117768  56916 1336424    0    0     0    40 1233 4468  5 13 77  5  0
 0  0 254148 117768  56916 1336428    0    0     0     0 1338  313  1  8 91  0  0
 0  0 254148 117768  56916 1336428    0    0     0     0 1347  311  1  7 92  0  0
 0  0 254148 117768  56916 1336432    0    0     0     0 1292  305  1  8 91  0  0
 0  0 254148 117768  56916 1336436    0    0     0    24  947  288  1  6 93  0  0
 0  0 254148 117768  56920 1336440    0    0     0    24 1015 4491  5  9 81  5  0
 0  0 254148 117768  56920 1336440    0    0     0     0 1105  345  4  8 88  0  0
 0  0 254148 117768  56920 1336448    0    0     0     0 1110  323  0  8 92  0  0
 0  0 254148 117768  56920 1336452    0    0     0     0 1032  301  0  7 93  0  0
 0  0 254148 117768  56920 1336452    0    0     0     0 1059  281  1  6 93  0  0
