procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 747364  48756 612708    0    0     0     0 1211  337  2 10 88  0  0
 5  0      0 746980  48756 612712    0    0     0     0 1285  368  0  9 91  0  0
 0  0      0 747364  48764 612712    0    0     0    16 1013  309  0  5 92  3  0
 2  0      0 747172  48764 612716    0    0     0     0 1503  365  1 11 88  0  0
 2  0      0 746660  48764 612720    0    0     0     0  982  335  2  5 93  0  0
 0  0      0 747364  48764 612724    0    0     0     0 1508  383  2  9 89  0  0
 1  0      0 747364  48764 612724    0    0     0     0 1226  356  0 10 90  0  0
 4  0      0 746916  48772 612728    0    0     0    16 1032  350  0  7 91  2  0
 2  0      0 747364  48772 612736    0    0     0     0 1061  343  1  8 91  0  0
 0  0      0 747364  48772 612736    0    0     0     0 1067  409  2  6 92  0  0
 1  0      0 747364  48772 612740    0    0     0     0 1151  332  1  9 90  0  0
 0  0      0 747364  48772 612744    0    0     0     0 1212  352  2  6 92  0  0
 2  0      0 747364  48780 612748    0    0     0    16 1227  397  0  9 91  0  0
 3  0      0 746724  48780 612748    0    0     0     0 1146  370  1  6 93  0  0
 2  0      0 746980  48780 612752    0    0     0     0  940  369  1  7 91  1  0
 0  0      0 747364  48780 612756    0    0     0     0 1169  327  0  7 93  0  0
 0  0      0 747364  48780 612760    0    0     0     0  838  325  0  6 94  0  0
 1  0      0 747044  48788 612760    0    0     0    16 1230  362  0 10 89  1  0
 4  0      0 747300  48788 612764    0    0     0     0 1139  428  3  8 89  0  0
 1  0      0 747584  48788 612772    0    0     0     0 1048  355  2  9 89  0  0
 0  0      0 748624  48788 612776    0    0     0     0 1322  449  0 10 90  0  0
 1  0      0 749444  48788 612776    0    0     0     0 1186  493  1  7 92  0  0
 0  0      0 750232  48796 612780    0    0     0    16  611  367  0  5 93  2  0
 0  0      0 750232  48796 612780    0    0     0     0  237  812  2  1 97  0  0
 0  0      0 750232  48796 612780    0    0     0     0  152  584  2  1 97  0  0
 0  0      0 750232  48796 612780    0    0     0     0  381 1517  8  2 90  0  0
 0  0      0 750232  48796 612780    0    0     0    80  296  828  4  1 95  0  0
