timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1609841891511,30,HTTP Request - YouTube Pag2,200,OK,Thread Group - Slow 1-37,text,true,,4036890,132,40,60,http://192.168.56.101/YouTubePag2.html,2,0,0
1609841891546,2,HTTP Request - Wikipedia Pag3,200,OK,Thread Group - Slow 1-31,text,true,,135089,134,40,60,http://192.168.56.101/WikipediaPag3.html,0,0,0
1609841891549,10,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow 1-13,text,true,,1549877,135,40,60,http://192.168.56.101/RepubblicaPag1.html,0,0,0
1609841891568,2,HTTP Request - Wikipedia Home,200,OK,Thread Group - Fast 2-19,text,true,,71558,134,20,60,http://192.168.56.101/WikipediaHome.html,1,0,0
1609841891565,27,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Slow 1-7,text,true,,1542999,135,40,60,http://192.168.56.101/RepubblicaPag2.html,3,0,0
1609841891613,15,HTTP Request - Wikipedia Pag3,200,OK,Thread Group - Fast 2-10,text,true,,135089,134,20,60,http://192.168.56.101/WikipediaPag3.html,6,0,0
1609841891561,84,HTTP Request - YouTube Home,200,OK,Thread Group - Slow 1-19,text,true,,4159635,132,40,60,http://192.168.56.101/YouTubeHome.html,1,0,0
1609841891596,73,HTTP Request - Repubblica Pag4,200,OK,Thread Group - Fast 2-7,text,true,,1530300,135,20,60,http://192.168.56.101/RepubblicaPag4.html,6,0,0
1609841891634,84,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast 2-4,text,true,,1968023,135,20,60,http://192.168.56.101/RepubblicaHome.html,4,0,0
1609841891587,139,HTTP Request - YouTube Pag4,200,OK,Thread Group - Slow 1-25,text,true,,4061363,132,40,60,http://192.168.56.101/YouTubePag4.html,9,0,0
1609841891590,148,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast 2-16,text,true,,5096467,132,20,60,http://192.168.56.101/YouTubePag1.html,2,0,0
1609841891580,165,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast 2-13,text,true,,4036890,132,20,60,http://192.168.56.101/YouTubePag2.html,4,0,0
1609841891604,141,HTTP Request - Repubblica Pag3,200,OK,Thread Group - Slow 1-1,text,true,,1517285,135,40,60,http://192.168.56.101/RepubblicaPag3.html,5,0,0
1609841891650,109,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast 2-1,text,true,,5096467,132,20,60,http://192.168.56.101/YouTubePag1.html,9,0,0
1609841892006,5,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Slow 1-38,text,true,,131694,134,40,60,http://192.168.56.101/WikipediaPag2.html,2,0,0
1609841892014,8,HTTP Request - Wikipedia Pag4,200,OK,Thread Group - Slow 1-26,text,true,,202562,134,40,60,http://192.168.56.101/WikipediaPag4.html,2,0,0
1609841892023,42,HTTP Request - Repubblica Pag3,200,OK,Thread Group - Slow 1-32,text,true,,1517285,135,40,60,http://192.168.56.101/RepubblicaPag3.html,1,0,0
1609841892073,7,HTTP Request - Wikipedia Home,200,OK,Thread Group - Fast 2-5,text,true,,71558,134,20,60,http://192.168.56.101/WikipediaHome.html,6,0,0
1609841892081,34,HTTP Request - Repubblica Pag4,200,OK,Thread Group - Fast 2-8,text,true,,1530300,135,20,60,http://192.168.56.101/RepubblicaPag4.html,3,0,0
1609841892122,22,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Fast 2-14,text,true,,131694,134,20,60,http://192.168.56.101/WikipediaPag2.html,6,0,0
1609841892086,121,HTTP Request - Repubblica Pag3,200,OK,Thread Group - Slow 1-2,text,true,,1517285,135,40,60,http://192.168.56.101/RepubblicaPag3.html,5,0,0
1609841892072,138,HTTP Request - YouTube Pag2,200,OK,Thread Group - Slow 1-8,text,true,,4036890,132,40,60,http://192.168.56.101/YouTubePag2.html,8,0,0
1609841892023,210,HTTP Request - YouTube Home,200,OK,Thread Group - Slow 1-20,text,true,,4159635,132,40,60,http://192.168.56.101/YouTubeHome.html,6,0,0
1609841892061,233,HTTP Request - YouTube Pag1,200,OK,Thread Group - Slow 1-14,text,true,,5096467,132,40,60,http://192.168.56.101/YouTubePag1.html,5,0,0
1609841892089,211,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast 2-17,text,true,,5096467,132,20,60,http://192.168.56.101/YouTubePag1.html,5,0,0
1609841892130,182,HTTP Request - YouTube Pag3,200,OK,Thread Group - Fast 2-11,text,true,,4093143,132,20,60,http://192.168.56.101/YouTubePag3.html,7,0,0
1609841892088,227,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast 2-2,text,true,,5096467,132,20,60,http://192.168.56.101/YouTubePag1.html,7,0,0
1609841892129,190,HTTP Request - YouTube Home,200,OK,Thread Group - Fast 2-20,text,true,,4159635,132,20,60,http://192.168.56.101/YouTubeHome.html,6,0,0
1609841892508,2,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Slow 1-9,text,true,,131694,134,40,60,http://192.168.56.101/WikipediaPag2.html,1,0,0
1609841892526,14,HTTP Request - Wikipedia Pag3,200,OK,Thread Group - Slow 1-3,text,true,,135089,134,40,60,http://192.168.56.101/WikipediaPag3.html,5,0,0
1609841892511,29,HTTP Request - YouTube Pag4,200,OK,Thread Group - Slow 1-27,text,true,,4061363,132,40,60,http://192.168.56.101/YouTubePag4.html,0,0,0
1609841892541,24,HTTP Request - YouTube Pag2,200,OK,Thread Group - Slow 1-39,text,true,,4036890,132,40,60,http://192.168.56.101/YouTubePag2.html,0,0,0
1609841892568,13,HTTP Request - Repubblica Pag4,200,OK,Thread Group - Fast 2-9,text,true,,1530300,135,20,60,http://192.168.56.101/RepubblicaPag4.html,1,0,0
1609841892582,7,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Fast 2-15,text,true,,131694,134,20,60,http://192.168.56.101/WikipediaPag2.html,3,0,0
1609841892569,68,HTTP Request - YouTube Pag3,200,OK,Thread Group - Slow 1-33,text,true,,4093143,132,40,60,http://192.168.56.101/YouTubePag3.html,2,0,0
1609841892604,59,HTTP Request - Repubblica Pag3,200,OK,Thread Group - Fast 2-12,text,true,,1517285,135,20,60,http://192.168.56.101/RepubblicaPag3.html,4,0,0
1609841892622,65,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast 2-6,text,true,,1968023,135,20,60,http://192.168.56.101/RepubblicaHome.html,5,0,0
1609841892600,96,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow 1-21,text,true,,1968023,135,40,60,http://192.168.56.101/RepubblicaHome.html,5,0,0
1609841892644,54,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast 2-3,text,true,,1549877,135,20,60,http://192.168.56.101/RepubblicaPag1.html,4,0,0
1609841892572,129,HTTP Request - YouTube Pag1,200,OK,Thread Group - Slow 1-15,text,true,,5096467,132,40,60,http://192.168.56.101/YouTubePag1.html,9,0,0
1609841892645,77,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast 2-18,text,true,,5096467,132,20,60,http://192.168.56.101/YouTubePag1.html,7,0,0
1609841893015,8,HTTP Request - Wikipedia Pag3,200,OK,Thread Group - Slow 1-34,text,true,,135089,134,40,60,http://192.168.56.101/WikipediaPag3.html,2,0,0
1609841893015,32,HTTP Request - YouTube Pag2,200,OK,Thread Group - Slow 1-40,text,true,,4036890,132,40,60,http://192.168.56.101/YouTubePag2.html,3,0,0
1609841893041,7,HTTP Request - Wikipedia Pag4,200,OK,Thread Group - Slow 1-28,text,true,,202562,134,40,60,http://192.168.56.101/WikipediaPag4.html,5,0,0
1609841893059,14,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow 1-22,text,true,,1968023,135,40,60,http://192.168.56.101/RepubblicaHome.html,0,0,0
1609841893072,25,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast 2-4,text,true,,1549877,135,20,60,http://192.168.56.101/RepubblicaPag1.html,4,0,0
1609841893094,12,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Slow 1-10,text,true,,1542999,135,40,60,http://192.168.56.101/RepubblicaPag2.html,3,0,0
1609841893090,24,HTTP Request - Wikipedia Pag3,200,OK,Thread Group - Slow 1-4,text,true,,135089,134,40,60,http://192.168.56.101/WikipediaPag3.html,18,0,0
1609841893109,10,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast 2-19,text,true,,158621,134,20,60,http://192.168.56.101/WikipediaPag1.html,5,0,0
1609841893060,64,HTTP Request - YouTube Home,200,OK,Thread Group - Fast 2-7,text,true,,4159635,132,20,60,http://192.168.56.101/YouTubeHome.html,3,0,0
1609841893085,46,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow 1-16,text,true,,1549877,135,40,60,http://192.168.56.101/RepubblicaPag1.html,15,0,0
1609841893125,37,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast 2-1,text,true,,4036890,132,20,60,http://192.168.56.101/YouTubePag2.html,6,0,0
1609841893152,12,HTTP Request - Wikipedia Pag4,200,OK,Thread Group - Fast 2-10,text,true,,202562,134,20,60,http://192.168.56.101/WikipediaPag4.html,4,0,0
1609841893125,60,HTTP Request - YouTube Pag3,200,OK,Thread Group - Fast 2-13,text,true,,4093143,132,20,60,http://192.168.56.101/YouTubePag3.html,2,0,0
1609841893145,65,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast 2-16,text,true,,4036890,132,20,60,http://192.168.56.101/YouTubePag2.html,8,0,0
1609841893524,15,HTTP Request - Repubblica Pag4,200,OK,Thread Group - Slow 1-29,text,true,,1530300,135,40,60,http://192.168.56.101/RepubblicaPag4.html,2,0,0
1609841893576,9,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Slow 1-17,text,true,,158621,134,40,60,http://192.168.56.101/WikipediaPag1.html,2,0,0
1609841893581,11,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast 2-5,text,true,,158621,134,20,60,http://192.168.56.101/WikipediaPag1.html,10,0,0
1609841893566,66,HTTP Request - YouTube Pag3,200,OK,Thread Group - Slow 1-35,text,true,,4093143,132,40,60,http://192.168.56.101/YouTubePag3.html,1,0,0
1609841893585,49,HTTP Request - YouTube Pag4,200,OK,Thread Group - Fast 2-11,text,true,,4061363,132,20,60,http://192.168.56.101/YouTubePag4.html,7,0,0
1609841893623,26,HTTP Request - Wikipedia Pag3,200,OK,Thread Group - Fast 2-14,text,true,,135089,134,20,60,http://192.168.56.101/WikipediaPag3.html,12,0,0
1609841893580,77,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow 1-23,text,true,,1968023,135,40,60,http://192.168.56.101/RepubblicaHome.html,4,0,0
1609841893627,113,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast 2-8,text,true,,1968023,135,20,60,http://192.168.56.101/RepubblicaHome.html,11,0,0
1609841893594,161,HTTP Request - YouTube Pag3,200,OK,Thread Group - Slow 1-5,text,true,,4093143,132,40,60,http://192.168.56.101/YouTubePag3.html,9,0,0
1609841893582,181,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast 2-17,text,true,,4036890,132,20,60,http://192.168.56.101/YouTubePag2.html,8,0,0
1609841893570,195,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast 2-2,text,true,,4036890,132,20,60,http://192.168.56.101/YouTubePag2.html,3,0,0
1609841893631,164,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast 2-20,text,true,,5096467,132,20,60,http://192.168.56.101/YouTubePag1.html,13,0,0
1609841893578,217,HTTP Request - YouTube Pag2,200,OK,Thread Group - Slow 1-11,text,true,,4036890,132,40,60,http://192.168.56.101/YouTubePag2.html,3,0,0
1609841894007,18,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow 1-18,text,true,,1549877,135,40,60,http://192.168.56.101/RepubblicaPag1.html,2,0,0
1609841894050,3,HTTP Request - Wikipedia Pag3,200,OK,Thread Group - Slow 1-6,text,true,,135089,134,40,60,http://192.168.56.101/WikipediaPag3.html,1,0,0
1609841894052,19,HTTP Request - Repubblica Pag3,200,OK,Thread Group - Slow 1-36,text,true,,1517285,135,40,60,http://192.168.56.101/RepubblicaPag3.html,1,0,0
1609841894050,22,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Slow 1-12,text,true,,1542999,135,40,60,http://192.168.56.101/RepubblicaPag2.html,2,0,0
1609841894069,37,HTTP Request - Repubblica Pag4,200,OK,Thread Group - Slow 1-30,text,true,,1530300,135,40,60,http://192.168.56.101/RepubblicaPag4.html,3,0,0
1609841894064,46,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow 1-24,text,true,,1968023,135,40,60,http://192.168.56.101/RepubblicaHome.html,3,0,0
1609841894075,48,HTTP Request - Repubblica Pag4,200,OK,Thread Group - Fast 2-12,text,true,,1530300,135,20,60,http://192.168.56.101/RepubblicaPag4.html,12,0,0
1609841894109,18,HTTP Request - Wikipedia Pag3,200,OK,Thread Group - Fast 2-15,text,true,,135089,134,20,60,http://192.168.56.101/WikipediaPag3.html,8,0,0
1609841894063,67,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Fast 2-3,text,true,,1542999,135,20,60,http://192.168.56.101/RepubblicaPag2.html,9,0,0
1609841894089,47,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast 2-9,text,true,,1968023,135,20,60,http://192.168.56.101/RepubblicaHome.html,5,0,0
1609841894109,33,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast 2-6,text,true,,1549877,135,20,60,http://192.168.56.101/RepubblicaPag1.html,5,0,0
1609841894151,28,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast 2-18,text,true,,4036890,132,20,60,http://192.168.56.101/YouTubePag2.html,1,0,0
1609841894515,13,HTTP Request - Wikipedia Pag4,200,OK,Thread Group - Slow 1-31,text,true,,202562,134,40,60,http://192.168.56.101/WikipediaPag4.html,7,0,0
1609841894511,44,HTTP Request - YouTube Pag1,200,OK,Thread Group - Slow 1-19,text,true,,5096467,132,40,60,http://192.168.56.101/YouTubePag1.html,1,0,0
1609841894564,9,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Fast 2-19,text,true,,131694,134,20,60,http://192.168.56.101/WikipediaPag2.html,7,0,0
1609841894566,29,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast 2-10,text,true,,1968023,135,20,60,http://192.168.56.101/RepubblicaHome.html,7,0,0
1609841894569,32,HTTP Request - Repubblica Pag3,200,OK,Thread Group - Slow 1-7,text,true,,1517285,135,40,60,http://192.168.56.101/RepubblicaPag3.html,3,0,0
1609841894537,96,HTTP Request - YouTube Pag3,200,OK,Thread Group - Slow 1-37,text,true,,4093143,132,40,60,http://192.168.56.101/YouTubePag3.html,4,0,0
1609841894581,68,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Fast 2-4,text,true,,1542999,135,20,60,http://192.168.56.101/RepubblicaPag2.html,4,0,0
1609841894591,71,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Slow 1-13,text,true,,1542999,135,40,60,http://192.168.56.101/RepubblicaPag2.html,4,0,0
1609841894558,113,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow 1-25,text,true,,1968023,135,40,60,http://192.168.56.101/RepubblicaHome.html,56,0,0
1609841894604,68,HTTP Request - Repubblica Pag4,200,OK,Thread Group - Slow 1-1,text,true,,1530300,135,40,60,http://192.168.56.101/RepubblicaPag4.html,5,0,0
1609841894571,111,HTTP Request - YouTube Pag3,200,OK,Thread Group - Fast 2-16,text,true,,4093143,132,20,60,http://192.168.56.101/YouTubePag3.html,6,0,0
1609841894633,98,HTTP Request - YouTube Pag4,200,OK,Thread Group - Fast 2-13,text,true,,4061363,132,20,60,http://192.168.56.101/YouTubePag4.html,10,0,0
1609841894652,86,HTTP Request - YouTube Pag3,200,OK,Thread Group - Fast 2-1,text,true,,4093143,132,20,60,http://192.168.56.101/YouTubePag3.html,3,0,0
1609841894635,107,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast 2-7,text,true,,5096467,132,20,60,http://192.168.56.101/YouTubePag1.html,6,0,0
1609841895029,9,HTTP Request - Wikipedia Home,200,OK,Thread Group - Slow 1-26,text,true,,71558,134,40,60,http://192.168.56.101/WikipediaHome.html,4,0,0
1609841895028,14,HTTP Request - Repubblica Pag4,200,OK,Thread Group - Slow 1-2,text,true,,1530300,135,40,60,http://192.168.56.101/RepubblicaPag4.html,0,0,0
1609841895031,13,HTTP Request - Wikipedia Pag3,200,OK,Thread Group - Slow 1-38,text,true,,135089,134,40,60,http://192.168.56.101/WikipediaPag3.html,3,0,0
1609841895013,48,HTTP Request - YouTube Pag1,200,OK,Thread Group - Slow 1-20,text,true,,5096467,132,40,60,http://192.168.56.101/YouTubePag1.html,2,0,0
1609841895054,17,HTTP Request - Repubblica Pag4,200,OK,Thread Group - Slow 1-32,text,true,,1530300,135,40,60,http://192.168.56.101/RepubblicaPag4.html,4,0,0
1609841895061,34,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast 2-20,text,true,,4036890,132,20,60,http://192.168.56.101/YouTubePag2.html,1,0,0
1609841895099,28,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast 2-11,text,true,,1968023,135,20,60,http://192.168.56.101/RepubblicaHome.html,15,0,0
1609841895138,17,HTTP Request - Wikipedia Pag4,200,OK,Thread Group - Fast 2-14,text,true,,202562,134,20,60,http://192.168.56.101/WikipediaPag4.html,6,0,0
1609841895138,25,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Fast 2-5,text,true,,131694,134,20,60,http://192.168.56.101/WikipediaPag2.html,17,0,0
1609841895141,46,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast 2-8,text,true,,1549877,135,20,60,http://192.168.56.101/RepubblicaPag1.html,5,0,0
1609841895102,98,HTTP Request - YouTube Pag3,200,OK,Thread Group - Slow 1-8,text,true,,4093143,132,40,60,http://192.168.56.101/YouTubePag3.html,18,0,0
1609841895099,104,HTTP Request - YouTube Pag3,200,OK,Thread Group - Fast 2-2,text,true,,4093143,132,20,60,http://192.168.56.101/YouTubePag3.html,17,0,0
1609841895097,118,HTTP Request - YouTube Pag2,200,OK,Thread Group - Slow 1-14,text,true,,4036890,132,40,60,http://192.168.56.101/YouTubePag2.html,0,0,0
1609841895144,79,HTTP Request - YouTube Pag3,200,OK,Thread Group - Fast 2-17,text,true,,4093143,132,20,60,http://192.168.56.101/YouTubePag3.html,5,0,0
1609841895523,37,HTTP Request - YouTube Pag2,200,OK,Thread Group - Slow 1-15,text,true,,4036890,132,40,60,http://192.168.56.101/YouTubePag2.html,1,0,0
1609841895553,33,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow 1-27,text,true,,1968023,135,40,60,http://192.168.56.101/RepubblicaHome.html,4,0,0
1609841895580,10,HTTP Request - Wikipedia Pag3,200,OK,Thread Group - Slow 1-9,text,true,,135089,134,40,60,http://192.168.56.101/WikipediaPag3.html,4,0,0
1609841895543,47,HTTP Request - YouTube Pag3,200,OK,Thread Group - Slow 1-39,text,true,,4093143,132,40,60,http://192.168.56.101/YouTubePag3.html,2,0,0
