procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2268284  52324 937792    0    0     0     0 6136  680  1  3 97  0  0
 0  0      0 2268876  52324 937796    0    0     0     0 6242  694  0  2 98  0  0
 0  0      0 2268252  52324 937804    0    0     0     0 5765  708  1  3 96  0  0
 0  0      0 2268628  52324 937804    0    0     0     0 5674  761  0  3 97  0  0
 0  0      0 2268452  52332 937808    0    0     0   180 6226  822  0  2 97  0  0
 0  0      0 2268932  52332 937808    0    0     0     0 6233  769  0  3 97  0  0
 1  0      0 2269508  52332 937816    0    0     0     0 5406  666  0  3 97  0  0
 1  0      0 2269044  52332 937816    0    0     0     0 5494  781  0  3 97  0  0
 1  0      0 2267852  52332 937816    0    0     0     0 4675  719  0  3 97  0  0
 1  0      0 2266600  52340 937820    0    0     0    28 6179  656  1  2 97  0  0
 0  0      0 2268964  52340 937824    0    0     0    48 6315  736  0  3 97  0  0
 0  0      0 2269724  52356 937820    0    0     0    96 5355  714  0  3 97  0  0
 1  0      0 2268572  52356 937832    0    0     0     0 4919  621  0  2 98  0  0
 2  0      0 2269596  52356 937832    0    0     0     0 4870  791  1  3 97  0  0
 1  0      0 2269440  52356 937836    0    0     0     0 4154  623  0  3 97  0  0
 0  0      0 2268704  52356 937840    0    0     0     0 3245  621  1  2 97  0  0
 0  0      0 2269692  52364 937836    0    0     0    16 4680  561  0  2 98  0  0
 0  0      0 2268348  52364 937844    0    0     0     0 6089  679  0  3 97  0  0
 1  0      0 2269284  52364 937848    0    0     0     0 6230  633  0  2 98  0  0
 0  0      0 2268616  52364 937852    0    0     0     0 6331  741  0  2 98  0  0
 0  0      0 2265984  52364 937852    0    0     0     0 6045  648  0  3 97  0  0
 1  0      0 2266136  52372 937856    0    0     0    16 6109  573  0  3 97  0  0
 0  0      0 2268644  52372 937856    0    0     0     0 6081  527  0  3 97  0  0
 0  0      0 2267812  52372 937860    0    0     0     0 6228  667  0  3 97  0  0
 0  0      0 2268840  52380 937864    0    0     0    32 5068  596  0  2 98  0  0
 1  0      0 2267360  52380 937864    0    0     0     0 5135  691  0  2 98  0  0
 1  0      0 2267896  52380 937868    0    0     0     0 5231  639  0  2 98  0  0
 0  0      0 2269088  52380 937872    0    0     0     0 4904  630  0  1 98  0  0
 1  0      0 2268856  52380 937876    0    0     0     0 5247  606  0  3 97  0  0
 0  0      0 2269332  52388 937876    0    0     0    16 6261  716  0  3 97  0  0
 1  0      0 2268652  52388 937880    0    0     0     0 4360  550  0  1 98  0  0
 1  0      0 2268776  52388 937884    0    0     0     0 4819  647  1  1 98  0  0
 0  0      0 2268016  52388 937884    0    0     0     0 5064  641  1  3 97  0  0
 1  0      0 2269196  52388 937888    0    0     0     0 6172  667  0  3 96  0  0
